.,Type,Vendor,Model,Serial number,CPU,Memory,GB,Grading,Comments,Repairs,Locked,Locked to,kan sælges på Refurbed,Keyboard,Battery,Battery threshold,Internal
1,Laptop,Dell,Latitude 5430,6D9SVV3,i7-1255U,16 GB DDR4,256 GB NVMe,C,"Normal W&T, Heavy Tear (Top Cover), Marks on Screen",,Yes,GBT,FALSE,Hungarian,0.84,Above,January '26
1,Laptop,Dell,Latitude 5430,86XTRQ3,i7-1255U,16 GB DDR4,256 GB NVMe,C,"Normal W&T, Whitespots on Screen",,Yes,GBT,TRUE,French (Europe),0.66,Below,January '26
1,Laptop,Dell,Latitude 5430,B68JTQ3,i7-1265U,16 GB DDR4,256 GB NVMe,C,"Normal W&T, Heavy Tear (Top Cover)",,Yes,GBT,,French (Europe),0.82,Above,January '26
1,Laptop,Dell,Latitude 5430,HR7XSQ3,i7-1265U,16 GB DDR4,256 GB NVMe,D,"N W&T, Heavy Tear (Palmrest), Cracked Top & Bottom Cover), 2 Defective USB Ports, Whitespots",,Yes,GBT,,Spanish Castillian,66.00%,Below,January '26
1,Laptop,Dell,Latitude 5430,32JSVV3,i7-1255U,16 GB DDR4,256 GB NVMe,C,"Normal W&T, Heavy Tear (Top Cover), Marks on Screen",,Yes,GBT,,German,100.00%,Above,January '26
1,Laptop,Dell,Latitude 5430,17JLSQ3,i7-1265U,16 GB DDR4,256 GB NVMe,C,"Normal W&T, Heavy Tear (Top & Bottom Cover), Small Marks on Screen",,Yes,GBT,,English UK,77.00%,Below,January '26
1,Laptop,Dell,Latitude 5430,6BY5KR3,i7-1255U,16 GB DDR4,256 GB NVMe,B,"Normal W&T, Faint Whitespotrs on Screen",,Yes,GBT,TRUE,Danish,100.00%,Above,January '26
1,Laptop,Dell,Latitude 5430,CG2J5X3,i7-1265U,16 GB DDR4,256 GB NVMe,B,Normal W&T,,Yes,GBT,TRUE,Spanish (Castillian),97.00%,Above,January '26
1,Laptop,Dell,Latitude 5430,5PVHSQ3,i7-1265U,16 GB DDR4,256 GB NVMe,B,Normal W&T,,Yes,GBT,,English US,75.00%,Below,January '26
1,Laptop,Dell,Latitude 5430,DXDMSQ3,i7-1265U,16 GB DDR4,256 GB NVMe,C,"Normal W&T, Heavy Tear (Top & Bottom Cover)",,Yes,GBT,,English UK,88.00%,Above,January '26
1,Laptop,Dell,Latitude 5430,4WLYCK3,i7-1255U,16 GB DDR4,256 GB NVMe,D,"Normal W&T, Heavy Tear (Top & Bottom Cover), Broken Screen, Broken Camera Glass",,Yes,GBT,,English International,87.00%,Above,January '26
1,Laptop,Dell,Latitude 5430,F4MXSQ3,i7-1265U,16 GB DDR4,256 GB NVMe,D,"Normal W&T, Heavy Tear (Top Cover Edge & Palmrest), Cracked Bottom Cover, Broken Screen",,Yes,GBT,,Spanish Castillian,68.00%,Below,January '26
1,Laptop,Dell,Latitude 3420,F92WGS3,i5-1145G7,16 GB DDR4,256 GB NVMe,C,"Normal W&T, Small Crack (Bottom Cover)",,Yes,GBT,,Scandinavian (MUI),100.00%,Above,January '26
1,Laptop,Dell,Latitude 5430,H8M2SQ3,i7-1265U,16 GB DDR4,256 GB NVMe,C,Normal W&T. Whitespots on Screen,,Yes,GBT,,Scandinavian (MUI),100.00%,Above,January '26
1,Laptop,Dell,Latitude 7440,CJ4HCY3,i7-1370P,32 GB DDR5,512 GB NVMe,C,"Normal W&T, Heavy Tear (Top Cover)",,,,,Norwegian,69.00%,Below,Nordisk Computer Recycling
1,Laptop,Dell,Latitude 7410,GX11793,i7-10610U,16 GB DDR4,256 GB NVMe,C,"N W&T, Small Marks on Screen, Worn Keyboard (E,S,Left Shift), Missing Feet, Heavy Tear(Palmrest)",,,,,Norwegian,50.00%,Below,Nordisk Computer Recycling
1,Laptop,Dell,Latitude 7350,7LNKF64,Ultra 7 165U,16 GB DDR5,512 GB NVMe,B,Normal W&T,,,,,Norwegian,100.00%,Above,Nordisk Computer Recycling
1,Laptop,Dell,Latitude 7310,HQYS4D3,i7-10610U,16 GB DDR4,256 GB NVMe,C,"Normal W&T, Heavy Tear (Top Cover, Bottom Cover)",,,,,Norwegian,61.00%,Below,Nordisk Computer Recycling
1,Laptop,Dell,Latitude 7450,CHGZZ84,Ultra 7 165H,16 GB DDR5,512 GB NVMe,B,Normal W&T,,,,,Norwegian,93.00%,Above,Nordisk Computer Recycling
1,Laptop,Dell,Latitude 7450,FX90D74,Ultra 7 165H,16 GB DDR5,512 GB NVMe,B,Normal W&T,,,,,Norwegian,100.00%,Above,Nordisk Computer Recycling
1,Laptop,Dell,Latitude 7450,6SMCX54,Ultra 7 165H,16 GB DDR5,512 GB NVMe,C,"Normal W&T, Marks on screen",,,,,Norwegian,96.00%,Above,Nordisk Computer Recycling
1,Laptop,Dell,Latitude 7440,BPRC9Y3,i7-1370P,16 GB DDR5,256 GB NVMe,C,"Normal W&T, Heavy Tear (Top Cover)",,,,,Norwegian,96.00%,Above,Nordisk Computer Recycling
1,Laptop,Dell,Latitude 7440,3MJH114,i7-1370P,32 GB DDR5,512 GB NVMe,B,Normal W&T,,,,,Norwegian,80.00%,Above,Nordisk Computer Recycling
1,Laptop,Dell,Latitude 7420,6KP4QN3,i7-1185G7,32 GB DDR4,256 GB NVMe,B,Normal W&T,,,,,Hungarian,86.00%,Above,Nordisk Computer Recycling
1,Laptop,Dell,Latitude 7420,1TQ24J3,i7-1185G7,16 GB DDR4,256 GB NVMe,C,"Normal W&T, Heavy Tear (Top Cover)",,,,,Norwegian,62.00%,Below,Nordisk Computer Recycling
1,Laptop,Dell,Latitude 7430,6C2W1T3,i7-1270P,32 GB DDR5,512 GB NVMe,C,"Normal W&T, Heavy Wear (Top Cover, Palmrest), Worn Trackpad",,,,,Norwegian,71.00%,Below,Nordisk Computer Recycling
1,Laptop,Dell,Latitude 7420,BB597M3,i7-1185G7,16 GB DDR4,256 GB NVMe,B,Normal W&T,,,,,Norwegian,42.00%,Below,Nordisk Computer Recycling
1,Laptop,Dell,Latitude 5430,JQ35WV3,i5-1245U,16 GB DDR4,256 GB NVMe,C,"Normal W&T, Heavy Tear (Top Cover), Broken Bezel",,,,,Norwegian,81.00%,Above,Nordisk Computer Recycling
1,Laptop,Dell,Latitude 5430,4MSZVV3,i7-1255U,16 GB DDR4,256 GB NVMe,C,"Normal W&T, Whitespots on Screen",,Yes,GBT,,French (Europe),87.00%,Above,January '26
1,Laptop,Dell,Latitude 3430,B51YGS3,i5-1235U,16 GB DDR4,256 GB,C,"Normal W&T, Defective Keyboard (Unresponsive keys )",,Yes,GBT,,Nordic (MUI),71.00%,Below,January '26
1,Laptop,Dell,Latitude 3420,JSYBHS3,i5-1145G7,16 GB DDR4,256 GB,C,"Normal W&T, Whitespots on Screen",,Yes,GBT,,French,74.00%,Below,January '26
1,Laptop,Dell,Latitude 3420,1L4WGS3,i5-1145G7,16 GB DDR4,256 GB,C,"Normal W&T, Defective Keyboard (Unresponsive Key), Marks on Screen",,Yes,GBT,,Scandinavian (MUI),72.00%,Below,January '26
