.,Type,Vendor,Model,Serial number,CPU,Memory,GB,Grading,Comments,Repairs,Locked,Locked to,kan sælges på Refurbed,Keyboard,Battery,Battery threshold,Internal
1,Laptop,HP,HP mt46 Mobile Thin Client,5CG2330WMT,Ryzen 3 PRO 4450U,8 GB DDR4,128 GB,C,"Normal W&T, Defective CMOS Battery, Small Marks on Screen",,No,,FALSE,French,97.00%,Above,December '25
1,Laptop,Dell,Latitude 3420,F3X8HS3,i5-1145G7,16 GB DDR4,256 GB,C,"Normal W&T, Heavy tear (Top Cover, (R))",,Yes,GBT,FALSE,Scandinavian (MUI),92.00%,Above,December '25
1,Laptop,Dell,Latitude 3420,CPWRGS3,i5-1145G7,16 GB DDR4,256 GB,C,"Normal W&T, Marks on Screen (R)",,Yes,GBT,FALSE,Belgian,79.00%,Below,December '25
1,Laptop,Dell,Latitude 3420,56VRGS3,i5-1145G7,16 GB DDR4,256 GB,D,"Normal W&T, Defective Screen (Flickers, (R))",,Yes,GBT,FALSE,English International,80.00%,Above,December '25
1,Laptop,Dell,Latitude 3420,JSYBHS3,i5-1145G7,16 GB DDR4,256 GB,C,"Normal W&T, Whitespots on Screen (R)",,,,FALSE,French (Europe),74.00%,Below,December '25
1,Laptop,Dell,Latitude 3420,J92WGS3,i5-1145G7,16 GB DDR4,256 GB,C,"Normal W&T, Heavy Tear (Top Cover (R)), Whitespots on Screen (W), Small Marks on Screen",,Yes,GBT,FALSE,Scandinavian (MUI),83.00%,Above,December '25
1,Laptop,Dell,Latitude 3430,C41YGS3,i5-1235U,16 GB DDR4,256 GB,C,"N W&T, Heavy tear (Top & Bottom Cover (D)), Marks on Screen (D), 1 Defective USB Port (D), 1 Broken USB Port (D)",,Yes,GBT,FALSE,Nordic (MUI),59.00%,Below,December '25
1,Laptop,Dell,Latitude 3430,FF2WGS3,i5-1235U,16 GB DDR4,256 GB,B,Normal W&T,,Yes,GBT,TRUE,English UK,88.00%,Above,December '25
1,Laptop,Dell,Latitude 3430,J7G4GS3,i5-1235U,16 GB DDR4,256 GB,C,"Normal W&T, Cracked Top Cover & Palmrest (D), Whitespots on Screen (D)",,Yes,GBT,FALSE,English UK,84.00%,Above,December '25
1,Laptop,Dell,Latitude 5400,J066633,i7-8665U,16 GB DDR4,256 GB,B,Normal W&T,,No,,TRUE,English (International),74.00%,Below,December '25
1,Laptop,Dell,Latitude 5410,JGTLZ53,i7-10610U,16 GB DDR4,256 GB,C,"Whitespots on Screen, Defective Keyboard (Unresponsive Keys)",,No,,FALSE,German,88.00%,Above,December '25
1,Laptop,Dell,Latitude 5410,9JSL593,i7-10610U,16 GB DDR4,256 GB,B,Normal W&T,,No,,TRUE,French (Europe),82.00%,Above,December '25
